,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
211290,Niger,"Electricity - net installed capacity of electric power plants, public combustible fuels",1993,"Kilowatts,  thousand",105.0,1.0,electricity_net_installed_capacity_of_electric_power_plants
435620,Nauru,Gas Oil/ Diesel Oil - Final consumption,1992,"Metric tons,  thousand",7.5,1.0,gas_oil_diesel_oil
886719,Ukraine,Other kerosene - Consumption by chemical and petrochemical,2003,"Metric tons,  thousand",0.0,,other_kerosene
1138585,Djibouti,"Electricity - total production, main activity",1993,"Kilowatt-hours, million",182.0,1.0,total_electricity
1036394,Seychelles,Electricity - total thermal production,1991,"Kilowatt-hours, million",106.0,,thermal_electricity
88301,Czechia,Blast furnace gas - final consumption,2009,Terajoules,7890.0,,blast_furnace_gas
695409,Gabon,Lubricants - Non-energy uses,2012,"Metric tons,  thousand",9.0,,lubricants
227924,Ghana,"Electricity - total net installed capacity of electric power plants, autoproducer",2009,"Kilowatts,  thousand",230.0,1.0,electricity_net_installed_capacity_of_electric_power_plants
810579,Trinidad and Tobago,Natural gas (including LNG) - exports,2009,Terajoules,808474.0,,natural_gas_including_lng
1095925,Rwanda,Electricity - Final energy consumption,2002,"Kilowatt-hours, million",166.8,,total_electricity
70132,Namibia,Bitumen - Non-energy uses,1998,"Metric tons,  thousand",7.0,,bitumen
1006058,Italy,Feedstocks - stock changes,2004,"Metric tons,  thousand",345.0,,refinery_feedstocks
382024,Slovakia,Fuelwood - Transformation in CHP plants - autoproducers,2001,"Cubic metres, thousand",124.35686899999999,1.0,fuelwood
356555,Qatar,Fuelwood - Final consumption,2013,"Cubic metres, thousand",1.4,1.0,fuelwood
1127664,Mexico,"Electricity - Own use by electricity, heat and CHP plants",2013,"Kilowatt-hours, million",10236.0,,total_electricity
1007380,Belgium,Feedstocks - transfers and recycled products,2008,"Metric tons,  thousand",-4865.0,,refinery_feedstocks
24788,Spain,Aviation gasoline - Stock changes,2005,"Metric tons,  thousand",1.0,,aviation_gasoline
950605,Neth. Antilles (former),Other oil products n.e.c. - Total energy supply,2003,"Metric tons,  thousand",44.0,,other_oil_products_n_e_c
727015,Pakistan,Motor Gasoline - Exports,2004,"Metric tons,  thousand",1.0,,motor_gasoline
268079,United Kingdom,"Fuel oil - Consumption by manufacturing, construction and non-fuel industry",2004,"Metric tons,  thousand",1010.0,,fuel_oil
658815,Russian Federation,Liquefied petroleum gas (LPG) - Production,1997,"Metric tons,  thousand",5041.0,,liquified_petroleum_gas
1092520,Bulgaria,Electricity - Final energy consumption,2009,"Kilowatt-hours, million",26847.0,,total_electricity
787949,Venezuela (Bolivar. Rep.),Natural gas (including LNG) - consumption by households,2002,Terajoules,47549.301,,natural_gas_including_lng
948667,Nigeria,Other oil products n.e.c. - Stock changes,2003,"Metric tons,  thousand",1.0,,other_oil_products_n_e_c
813938,Algeria,Natural Gas (including LNG) - final energy consumption,2006,Terajoules,314246.0,,natural_gas_including_lng
491214,New Zealand,Electricity - total geothermal production,1997,"Kilowatt-hours, million",2258.0,,geothermal
1072776,Azerbaijan,Electricity - Consumption by rail,2004,"Kilowatt-hours, million",440.0,,total_electricity
304566,Uruguay,Fuel oil - Losses,2003,"Metric tons,  thousand",0.0,,fuel_oil
666566,Dominica,Liquefied petroleum gas (LPG) - Total energy supply,2000,"Metric tons,  thousand",2.0,,liquified_petroleum_gas
673575,Slovakia,Liquified Petroleum Gas (LPG) - Consumption by construction,2001,"Metric tons,  thousand",2.0,,liquified_petroleum_gas
1154032,Somalia,From combustible fuels – Main activity,2007,"Kilowatt-hours, million",311.0,,total_electricity
942916,Serbia and Montenegro,Other oil products n.e.c. - Non-energy uses,2003,"Metric tons,  thousand",0.0,,other_oil_products_n_e_c
355347,Kenya,Fuelwood - Final consumption,2012,"Cubic metres, thousand",12546.0,1.0,fuelwood
805742,Turkey,"Natural gas (including LNG) - consumption in agriculture, forestry and fishing",2009,Terajoules,1344.0,,natural_gas_including_lng
1036385,Seychelles,Electricity - total thermal production,2000,"Kilowatt-hours, million",187.5,,thermal_electricity
856591,Norway,Of which: biodiesel - Consumption in transport,2010,"Metric tons,  thousand",126.0,,of_which_biodiesel
347859,Suriname,"Fuelwood - Consumption by other manuf., const. and non-fuel ind.",1991,"Cubic metres, thousand",6.896552000000001,,fuelwood
497342,Mauritius,"Hard coal - consumption by manufacturing, construction and non-fuel mining industry",2006,"Metric tons,  thousand",22.0,,hard_coal
365206,Cabo Verde,Fuelwood - Production,1993,"Cubic metres, thousand",112.7,,fuelwood
38772,Somalia,Bagasse - Total energy supply,1994,"Metric tons,  thousand",59.0,,bagasse
472113,Rwanda,Gas Oil/ Diesel Oil - Transformation,2014,"Metric tons,  thousand",68.0,1.0,gas_oil_diesel_oil
168561,Chile,Coking coal - total energy supply,1994,"Metric tons,  thousand",668.0,,coking_coal
508479,Australia,Hard coal - exports,2007,"Metric tons,  thousand",244390.0,,hard_coal
179136,Republic of Moldova,Conventional crude oil - production,2002,"Metric tons,  thousand",0.0,,conventional_crude_oil
655958,China,Liquefied petroleum gas (LPG) - Own use by gas works,2005,"Metric tons,  thousand",861.6,,liquified_petroleum_gas
680505,Colombia,Liquified Petroleum Gas (LPG) - Final energy consumption,2008,"Metric tons,  thousand",646.0,,liquified_petroleum_gas
910752,Jamaica,Other kerosene - Final energy consumption,2004,"Metric tons,  thousand",45.0,,other_kerosene
113052,Greece,Brown coal - Final energy consumption,2000,"Metric tons,  thousand",464.0,,brown_coal
415091,Luxembourg,"Gas Oil/ Diesel Oil - Consumption in agriculture, forestry and fishing",2009,"Metric tons,  thousand",20.0,,gas_oil_diesel_oil
871902,Germany,Other bituminous coal - energy industries own use,2000,"Metric tons,  thousand",7.0,,other_bituminous_coal
1047437,Honduras,Electricity - Consumption by households,2012,"Kilowatt-hours, million",2156.0,,total_electricity
657281,Chile,Liquefied petroleum gas (LPG) - Production,1991,"Metric tons,  thousand",402.0,,liquified_petroleum_gas
650875,Brazil,Liquefied petroleum gas (LPG) - Imports,1997,"Metric tons,  thousand",2517.0,,liquified_petroleum_gas
53514,Romania,Biogases - Transformation in CHP plants - autoproducers,2011,Terajoules,88.0,,biogases
479678,Uruguay,Gas Oil/ Diesel Oil - Transformation in electricity plants - autoproducers,2010,"Metric tons,  thousand",0.5,,gas_oil_diesel_oil
752422,Republic of Moldova,Motor Gasoline - Stock changes,2013,"Metric tons,  thousand",0.0,,motor_gasoline
954754,Slovakia,Other recovered gases - Production,2012,Terajoules,2388.0,,other_recovered_gases
94014,Colombia,Blast furnace gas - Transformation,2003,Terajoules,1433.0,,blast_furnace_gas
474787,Canada,"Gas Oil/ Diesel Oil - Transformation in electricity, CHP and heat plants",1991,"Metric tons,  thousand",208.0,,gas_oil_diesel_oil
60723,"China, Hong Kong SAR",Bitumen - Exports,1995,"Metric tons,  thousand",4.0,,bitumen
313932,Eritrea,Fuel oil - Stock changes,2001,"Metric tons,  thousand",13.0,,fuel_oil
13889,Solomon Islands,Aviation gasoline - Consumption in domestic aviation,2007,"Metric tons,  thousand",1.1,1.0,aviation_gasoline
816884,Brazil,Natural gas (including LNG) - flared and vented,2008,Terajoules,84696.0,,natural_gas_including_lng
444736,Grenada,Gas Oil/ Diesel Oil - Imports,2008,"Metric tons,  thousand",53.43,,gas_oil_diesel_oil
815094,Kyrgyzstan,Natural Gas (including LNG) - final energy consumption,2000,Terajoules,7588.0,,natural_gas_including_lng
637170,Côte d'Ivoire,"Liquefied petroleum gas (LPG) - consumption by other manuf., const. and non-fuel min. ind.",2008,"Metric tons,  thousand",26.0,,liquified_petroleum_gas
1095014,Mexico,Electricity - Final energy consumption,1993,"Kilowatt-hours, million",106411.0,,total_electricity
660225,Qatar,Liquefied petroleum gas (LPG) - production from plants,1993,"Metric tons,  thousand",1101.0,,liquified_petroleum_gas
871866,Czechia,Other bituminous coal - energy industries own use,1995,"Metric tons,  thousand",85.0,,other_bituminous_coal
481558,Slovenia,Gas Oil/ Diesel Oil - Transformation in electricity plants - main activity producers,1996,"Metric tons,  thousand",3.0,,gas_oil_diesel_oil
529845,Ireland,"Hard coal - transformation in electricity, CHP and heat plants",1994,"Metric tons,  thousand",2214.0,,hard_coal
977,Slovakia,Additives and Oxygenates - Receipts from other sources,2011,"Metric tons,  thousand",197.0,,additives_and_oxygenates
1124460,Albania,"Electricity - Own use by electricity, heat and CHP plants",2014,"Kilowatt-hours, million",0.0,,total_electricity
733055,Wallis and Futuna Is.,Motor Gasoline - Final consumption,2003,"Metric tons,  thousand",2.017,,motor_gasoline
1093490,Finland,Electricity - Final energy consumption,2007,"Kilowatt-hours, million",86068.0,,total_electricity
1132593,Turkey,Electricity - Own use by oil refineries,1993,"Kilowatt-hours, million",1777.0,,total_electricity
917812,Barbados,Other kerosene - Production,1993,"Metric tons,  thousand",3.0,,other_kerosene
135633,Réunion,Charcoal - Final consumption,1995,"Metric tons,  thousand",13.782,1.0,charcoal
932928,Denmark,Other oil products n.e.c. - Consumption by mining and quarrying ,1992,"Metric tons,  thousand",1.0,,other_oil_products_n_e_c
571273,Canada,Industrial Waste - Final energy consumption,1996,Terajoules,3694.0,,industrial_waste
78192,Honduras,Bitumen - Total energy supply,1990,"Metric tons,  thousand",11.0,1.0,bitumen
338449,Syrian Arab Republic,Fuelwood - Consumption by households,2000,"Cubic metres, thousand",18.390805,1.0,fuelwood
400906,Mauritius,Gas Oil/ Diesel Oil - Consumption by other,2001,"Metric tons,  thousand",2.0,,gas_oil_diesel_oil
125536,Uganda,Charcoal - Consumption by households,2010,"Metric tons,  thousand",931.47,1.0,charcoal
655794,Belgium,Liquefied petroleum gas (LPG) - Own use by coal mines,2002,"Metric tons,  thousand",3.0,,liquified_petroleum_gas
843254,Israel,Natural Gas (including LNG) - transformation in electricity plants - autoproducers,2008,Terajoules,5076.0,,natural_gas_including_lng
1182416,Dem. Rep. of the Congo,White spirit and special boiling point industrial spirits - Non-energy uses,1999,"Metric tons,  thousand",25.0,,white_spirit_and_special_boiling_point_industrial_spirits
223840,United Rep. of Tanzania,"Electricity - net installed capacity of electric power plants, self-producer combustible fuels",1992,"Kilowatts,  thousand",20.0,1.0,electricity_net_installed_capacity_of_electric_power_plants
383622,Estonia,Fuelwood - Transformation in electricity plants - autoproducers,1997,"Cubic metres, thousand",2.07991242474001,1.0,fuelwood
287957,Fiji,Fuel oil - Exports,2011,"Metric tons,  thousand",0.0388,,fuel_oil
1012664,Slovakia,Refinery gas - Energy industries own use,1997,"Metric tons,  thousand",0.0,,refinery_gas
861559,Sweden,"Other bituminous coal - consumption by agriculture, forestry and fishing",1995,"Metric tons,  thousand",5.0,,other_bituminous_coal
560641,Germany,Heat - Own use by oil refineries,2009,Terajoules,3324.0,,heat
271762,Lithuania,Fuel oil - Consumption by other,2003,"Metric tons,  thousand",7.0,,fuel_oil
282026,Turkey,Fuel oil - Consumption in rail,1996,"Metric tons,  thousand",25.0,,fuel_oil
1166281,United Kingdom,Nuclear – Main activity,2000,"Kilowatt-hours, million",85063.0,,total_electricity
204447,"Korea, Republic of",Electricity generating capacity - From other sources - Autoproducers,2014,"Kilowatts,  thousand",16.0,,electricity_net_installed_capacity_of_electric_power_plants
95297,Belgium,"Blast Furnace Gas - Transformation in electricity, CHP and heat plants",2014,Terajoules,16739.0,,blast_furnace_gas
624383,Chad,Liquefied petroleum gas (LPG) - Consumption by households,1991,"Metric tons,  thousand",0.0,,liquified_petroleum_gas
127335,Fiji,Charcoal - Consumption by other,1995,"Metric tons,  thousand",1.94,1.0,charcoal
248558,Latvia,"Electricity - total net installed capacity of electric power plants, main activity & autoproducer",2002,"Kilowatts,  thousand",2141.0,,electricity_net_installed_capacity_of_electric_power_plants
994887,Croatia,Petroleum Coke - Final energy consumption,2012,"Metric tons,  thousand",94.0,,petroleum_coke
505610,United Kingdom,Hard coal - consumption by textile and leather industry,2005,"Metric tons,  thousand",71.0,,hard_coal
228880,Morocco,"Electricity - total net installed capacity of electric power plants, autoproducer",2005,"Kilowatts,  thousand",272.0,1.0,electricity_net_installed_capacity_of_electric_power_plants
982199,Latvia,Peat - consumption by wood and wood products,2008,"Metric tons,  thousand",0.0,,peat
169177,Algeria,Coking coal - transformation,2010,"Metric tons,  thousand",0.0,,coking_coal
47964,Lithuania,"Biogases - Consumption by other manuf., const. and non-fuel ind.",2006,Terajoules,6.0,,biogases
607665,Micronesia (Fed. States of),Kerosene-type Jet Fuel - Total energy supply,2011,"Metric tons,  thousand",3.3,1.0,kerosene_type_jet_fuel
80579,Japan,Bitumen - Transformation in coke ovens,2007,"Metric tons,  thousand",137.0,,bitumen
680979,Finland,Liquified Petroleum Gas (LPG) - Final energy consumption,2014,"Metric tons,  thousand",268.0,,liquified_petroleum_gas
844658,Romania,Natural Gas (including LNG) - transformation in electricity plants - main activity producers,1993,Terajoules,47496.0,,natural_gas_including_lng
786979,Germany,Natural gas (including LNG) - consumption by households,2004,Terajoules,1119757.0,,natural_gas_including_lng
955181,Sweden,Other recovered gases - Transformation,2009,Terajoules,943.0,,other_recovered_gases
879693,United States,Other bituminous coal - total energy supply,2003,"Metric tons,  thousand",478574.0,,other_bituminous_coal
43927,Czechia,Biodiesel - Production,1994,"Metric tons,  thousand",9.0,,biodiesel
1087948,Brunei Darussalam,Electricity - Energy industries own use,2007,"Kilowatt-hours, million",367.0,,total_electricity
542199,Switzerland,Heat - Consumption by construction,2004,Terajoules,18.0,,heat
996425,Lithuania,Petroleum coke - Imports,1999,"Metric tons,  thousand",0.0,,petroleum_coke
893097,Poland,"Other kerosene - Consumption by manufacturing, construction and non-fuel industry",1991,"Metric tons,  thousand",1.0,,other_kerosene
927082,Nigeria,Other kerosene - Total energy supply,2007,"Metric tons,  thousand",1428.0,,other_kerosene
69981,Malaysia,Bitumen - Non-energy uses,2006,"Metric tons,  thousand",628.0,,bitumen
512505,Belarus,Hard coal - final energy consumption,2002,"Metric tons,  thousand",115.0,,hard_coal
731885,Sao Tome and Principe,Motor Gasoline - Final consumption,2006,"Metric tons,  thousand",6.5,,motor_gasoline
764207,Switzerland,Municipal Wastes - Transformation in CHP plants - autoproducers,1997,Terajoules,20122.0,,municipal_wastes
525035,"China, Hong Kong SAR",Hard coal - transformation,1993,"Metric tons,  thousand",11828.0,,hard_coal
878181,Norway,Other bituminous coal - stock changes,1990,"Metric tons,  thousand",13.0,,other_bituminous_coal
1007959,United States,Feedstocks - transfers and recycled products,2001,"Metric tons,  thousand",-896.0,,refinery_feedstocks
1160472,Afghanistan,Hydro – Autoproducer,2001,"Kilowatt-hours, million",15.0,1.0,total_electricity
1114734,Portugal,Electricity - Losses,2001,"Kilowatt-hours, million",4057.0,,total_electricity
134085,Gambia,Charcoal - Final consumption,2011,"Metric tons,  thousand",60.146,1.0,charcoal
1030233,"Korea, Republic of",Sub-bituminous coal - Stock changes,1993,"Metric tons,  thousand",-97.0,,sub_bituminous_coal
214319,Chile,"Electricity - net installed capacity of electric power plants, public hydro",2010,"Kilowatts,  thousand",5383.0,,electricity_net_installed_capacity_of_electric_power_plants
380339,Mexico,Fuelwood - Transformation in charcoal plants,2009,"Cubic metres, thousand",846.18,1.0,fuelwood
526702,Germany,Hard coal - transformation in blast furnaces,2012,"Metric tons,  thousand",4157.0,,hard_coal
184115,"Korea, Republic of",Conventional crude oil - total energy supply,1998,"Metric tons,  thousand",112222.0,,conventional_crude_oil
961035,Bolivia (Plur. State of),Vegetal waste - Final consumption,1992,Terajoules,3940.0,1.0,other_vegetal_material_and_residues
386995,Mexico,Gas Oil/ Diesel Oil - Consumption by commerce and public services,2006,"Metric tons,  thousand",96.0,,gas_oil_diesel_oil
323432,New Caledonia,Fuel oil - Transformation,1991,"Metric tons,  thousand",180.0,1.0,fuel_oil
1146175,Solomon Islands,From combustible fuels – Autoproducer,2014,"Kilowatt-hours, million",8.0,1.0,total_electricity
739694,Denmark,Motor Gasoline - Imports,1995,"Metric tons,  thousand",750.0,,motor_gasoline
662294,Paraguay,Liquefied petroleum gas (LPG) - production from refineries,1990,"Metric tons,  thousand",11.0,,liquified_petroleum_gas
1097673,Bangladesh,Electricity - Gross demand,2008,"Kilowatt-hours, million",32165.0,,total_electricity
1102076,Sweden,Electricity - Gross demand,1994,"Kilowatt-hours, million",133622.0,,total_electricity
1080750,Latvia,"Electricity - Consumption in agriculture, forestry and fishing",2010,"Kilowatt-hours, million",139.0,,total_electricity
239351,Rwanda,"Electricity - total net installed capacity of electric power plants, hydro",1999,"Kilowatts,  thousand",26.5,,electricity_net_installed_capacity_of_electric_power_plants
999283,Slovakia,Petroleum coke - Production,2013,"Metric tons,  thousand",56.0,,petroleum_coke
612560,Poland,"Lignite - Consumption by manufacturing, construction and non-fuel industry",2000,"Metric tons,  thousand",48.0,,lignite
1128615,Samoa,"Electricity - Own use by electricity, heat and CHP plants",2010,"Kilowatt-hours, million",0.5,,total_electricity
148804,Morocco,Charcoal - Total energy supply,2014,"Metric tons,  thousand",112.76,,charcoal
539758,Slovakia,Geothermal – Main activity,2002,Terajoules,90.0,,heat
118574,Slovenia,Brown coal - Transformation in autoproducer CHP plants,2009,"Metric tons,  thousand",23.0,,brown_coal
413363,Germany,Gas Oil/ Diesel Oil - Consumption by wood and wood products ,2004,"Metric tons,  thousand",36.0,,gas_oil_diesel_oil
696216,Maldives,Lubricants - Non-energy uses,2011,"Metric tons,  thousand",2.6,1.0,lubricants
160711,Australia,Coke Oven Gas - Total energy supply,2003,Terajoules,22642.0,,coke_oven_coke
673574,Slovakia,Liquified Petroleum Gas (LPG) - Consumption by construction,2002,"Metric tons,  thousand",2.0,,liquified_petroleum_gas
374626,Belarus,Fuelwood - Transformation,2011,"Cubic metres, thousand",2500.82101859661,,fuelwood
371951,Kyrgyzstan,Fuelwood - Total energy supply,1996,"Cubic metres, thousand",16.420361,,fuelwood
924357,Azerbaijan,Other kerosene - Total energy supply,2010,"Metric tons,  thousand",1.0,,other_kerosene
581130,Cyprus,Kerosene-type Jet Fuel - Consumption not elsewhere specified (other),2004,"Metric tons,  thousand",0.0,,kerosene_type_jet_fuel
755704,Kuwait,Motor Gasoline - Total energy supply,1995,"Metric tons,  thousand",1401.0,,motor_gasoline
196430,Egypt,Crude petroleum - reserves,2002,"Metric tons,  thousand",492000.0,,conventional_crude_oil
1096985,United Rep. of Tanzania,Electricity - Final energy consumption,2014,"Kilowatt-hours, million",4976.0,,total_electricity
590174,Iceland,Kerosene-type Jet Fuel - Imports,2001,"Metric tons,  thousand",117.0,,kerosene_type_jet_fuel
966656,Finland,Vegetal waste - Total energy supply,2012,Terajoules,702.0,,other_vegetal_material_and_residues
1001729,China,Petroleum coke - Total energy supply,2010,"Metric tons,  thousand",18281.7,,petroleum_coke
855580,Sweden,Electricity - total nuclear production,1993,"Kilowatt-hours, million",61395.0,,nuclear_electricity
701840,Romania,Lubricants - Stock changes,2010,"Metric tons,  thousand",0.0,,lubricants
473662,United Kingdom,Gas Oil/ Diesel Oil - Transformation in CHP plants - autoproducers,2008,"Metric tons,  thousand",11.0,,gas_oil_diesel_oil
1104784,Greece,Electricity - Gross production,1997,"Kilowatt-hours, million",43506.0,,total_electricity
631304,Benin,Liquefied petroleum gas (LPG) - Consumption by other,2002,"Metric tons,  thousand",8.0,,liquified_petroleum_gas
1005272,United States,Feedstocks - imports,2013,"Metric tons,  thousand",33478.0,,refinery_feedstocks
651224,Colombia,Liquefied petroleum gas (LPG) - Imports,1993,"Metric tons,  thousand",72.0,,liquified_petroleum_gas
1088983,Romania,Electricity - Energy industries own use,2005,"Kilowatt-hours, million",7662.0,,total_electricity
635829,Honduras,Liquefied petroleum gas (LPG) - Consumption by other consumers not elsewhere specified,1996,"Metric tons,  thousand",22.0,,liquified_petroleum_gas
149007,Nicaragua,Charcoal - Total energy supply,2007,"Metric tons,  thousand",8.0,,charcoal
1011880,Iraq,Refinery gas - Energy industries own use,1997,"Metric tons,  thousand",456.0,,refinery_gas
568977,Latvia,Industrial Waste - Consumption by non-metallic minerals ,2008,Terajoules,210.0,,industrial_waste
942819,Poland,Other oil products n.e.c. - Non-energy uses,1996,"Metric tons,  thousand",104.0,,other_oil_products_n_e_c
32152,Costa Rica,Bagasse - Final consumption,2014,"Metric tons,  thousand",1233.0842646430401,,bagasse
701437,Greece,Lubricants - Stock changes,2000,"Metric tons,  thousand",6.0,,lubricants
576341,Croatia,Kerosene-type Jet Fuel - Consumption by domestic aviation,2011,"Metric tons,  thousand",10.0,,kerosene_type_jet_fuel
1028102,Romania,Sub-bituminous coal - Consumption by other,1998,"Metric tons,  thousand",13.0,,sub_bituminous_coal
1084253,Burundi,Electricity - Consumption not elsewhere specified (other),2012,"Kilowatt-hours, million",23.8,1.0,total_electricity
183183,Colombia,Conventional crude oil - total energy supply,1999,"Metric tons,  thousand",16027.0,,conventional_crude_oil
96492,Netherlands,Blast Furnace Gas - Transformation in electricity plants - main activity producers,2009,Terajoules,10532.0,,blast_furnace_gas
1081606,Sudan (former),"Electricity - Consumption in agriculture, forestry and fishing",2000,"Kilowatt-hours, million",39.0,,total_electricity
681101,Gabon,Liquified Petroleum Gas (LPG) - Final energy consumption,1992,"Metric tons,  thousand",12.0,,liquified_petroleum_gas
715950,Kiribati,Motor Gasoline - Consumption by transport,2002,"Metric tons,  thousand",2.5,1.0,motor_gasoline
6436,Germany,"Anthracite - consumption by paper, pulp and print",2011,"Metric tons,  thousand",0.0,,anthracite
970574,"China, Hong Kong SAR",Paraffin waxes - Final consumption,2010,"Metric tons,  thousand",2.0,1.0,paraffin_waxes
460846,Greece,Gas Oil/ Diesel Oil - Stock changes,2006,"Metric tons,  thousand",204.0,,gas_oil_diesel_oil
792774,Pakistan,"Natural gas (including LNG) - consumption by manufacturing, construction and non-fuel industry",2006,Terajoules,367060.13700000005,,natural_gas_including_lng
967219,Pakistan,Vegetal waste - Total energy supply,2001,Terajoules,131675.0,,other_vegetal_material_and_residues
1113465,"Korea, Republic of",Electricity - Losses,2005,"Kilowatt-hours, million",13728.0,,total_electricity
290464,Chile,Fuel oil - Final consumption,2007,"Metric tons,  thousand",1173.0,,fuel_oil
299792,Kenya,Fuel oil - Imports,1993,"Metric tons,  thousand",0.0,,fuel_oil
955437,Japan,"Other recovered gases - Transformation in electricity, CHP and heat plants",2001,Terajoules,29099.0,,other_recovered_gases
968157,Netherlands,Vegetal waste - Transformation,2007,Terajoules,5680.0,1.0,other_vegetal_material_and_residues
441758,Slovenia,Gas Oil/ Diesel Oil - Final energy consumption,1999,"Metric tons,  thousand",1256.0,,gas_oil_diesel_oil
581307,Micronesia (Fed. States of),Kerosene-type Jet Fuel - Consumption not elsewhere specified (other),1998,"Metric tons,  thousand",0.5,1.0,kerosene_type_jet_fuel
499127,Austria,Hard coal - consumption by non-metallic minerals industry,1999,"Metric tons,  thousand",131.0,,hard_coal
1162751,Ecuador,Hydro – Main activity,1991,"Kilowatt-hours, million",5075.0,,total_electricity
189394,Austria,Conventional crude oil - transformation in oil refineries,1993,"Metric tons,  thousand",8522.0,,conventional_crude_oil
84591,Finland,Black Liquor - Transformation in electricity plants - autoproducers,2010,Terajoules,2665.0,1.0,black_liquor
1113998,Mexico,Electricity - Losses,2008,"Kilowatt-hours, million",41409.0,,total_electricity
502548,Estonia,"Hard coal - consumption by other manuf., const. and non-fuel ind.",1998,"Metric tons,  thousand",11.0,,hard_coal
63803,Libya,Bitumen - Final consumption,2014,"Metric tons,  thousand",26.0,,bitumen
427858,French Polynesia,Gas Oil/ Diesel Oil - Consumption not elsewhere specified (transport),2004,"Metric tons,  thousand",29.4761,1.0,gas_oil_diesel_oil
776208,Libya,Naphtha - production from refineries,1997,"Metric tons,  thousand",1306.0,,naphtha
35236,Zimbabwe,Bagasse - Final energy consumption,1996,"Metric tons,  thousand",1098.0,,bagasse
161640,Austria,Coke Oven Gas - Transformation,2004,Terajoules,2436.0,,coke_oven_coke
461120,Jamaica,Gas Oil/ Diesel Oil - Stock changes,2001,"Metric tons,  thousand",0.0,,gas_oil_diesel_oil
671645,Uruguay,Liquefied petroleum gas (LPG) - Transformation in gas works,1994,"Metric tons,  thousand",0.0,,liquified_petroleum_gas
382897,Hungary,"Fuelwood - Transformation in electricity, CHP and heat plants",1990,"Cubic metres, thousand",31.855501,1.0,fuelwood
505346,Estonia,Hard coal - consumption by textile and leather industry,2003,"Metric tons,  thousand",1.0,,hard_coal
281418,Romania,"Fuel oil - Consumption in agriculture, forestry and fishing",1993,"Metric tons,  thousand",2.0,,fuel_oil
1060272,Germany,Electricity - Consumption by non-metallic minerals,1993,"Kilowatt-hours, million",10581.0,,total_electricity
35068,Swaziland,Bagasse - Final energy consumption,1990,"Metric tons,  thousand",869.914484,1.0,bagasse
192530,Colombia,"Crude petroleum - consumption by other manufacturing, construction and non-fuel mining industry",1990,"Metric tons,  thousand",638.0,1.0,conventional_crude_oil
1009316,Germany,Feedstocks - transformation in oil refineries,1996,"Metric tons,  thousand",11759.0,,refinery_feedstocks
843020,Chile,Natural Gas (including LNG) - transformation in electricity plants - autoproducers,2012,Terajoules,3426.0,,natural_gas_including_lng
685772,Hungary,Lubricants - Exports,2007,"Metric tons,  thousand",97.0,,lubricants
84369,Czechia,Black Liquor - Transformation in CHP plants - main activity producers,2002,Terajoules,0.0,1.0,black_liquor
830445,Turkey,Natural gas (including LNG) - production,2008,Terajoules,38965.0,,natural_gas_including_lng
664949,Slovakia,Liquefied petroleum gas (LPG) - Stock changes,2001,"Metric tons,  thousand",5.0,,liquified_petroleum_gas
701578,Latvia,Lubricants - Stock changes,2002,"Metric tons,  thousand",0.0,,lubricants
702424,Belarus,Lubricants - Total energy supply,1994,"Metric tons,  thousand",163.0,,lubricants
1054883,Greenland,"Electricity - Consumption by manufacturing, construction and non-fuel industry",2010,"Kilowatt-hours, million",63.7149,,total_electricity
435959,Palau,Gas Oil/ Diesel Oil - Final consumption,1994,"Metric tons,  thousand",2.0,1.0,gas_oil_diesel_oil
861432,Latvia,"Other bituminous coal - consumption by agriculture, forestry and fishing",2007,"Metric tons,  thousand",2.0,,other_bituminous_coal
33624,Barbados,Bagasse - Final energy consumption,1998,"Metric tons,  thousand",152.0,,bagasse
471018,Libya,Gas Oil/ Diesel Oil - Transformation,2014,"Metric tons,  thousand",3328.0,,gas_oil_diesel_oil
93053,Finland,Blast furnace gas - Total energy supply,1997,Terajoules,15970.0,,blast_furnace_gas
888720,Dominican Republic,Other kerosene - Consumption by households,2002,"Metric tons,  thousand",11.33,,other_kerosene
879819,Belarus,Other bituminous coal - transformation,2008,"Metric tons,  thousand",33.0,,other_bituminous_coal
1001929,Finland,Petroleum coke - Total energy supply,1998,"Metric tons,  thousand",40.0,,petroleum_coke
856137,Finland,Of which: biodiesel - Consumption by road,2008,"Metric tons,  thousand",10.0,,of_which_biodiesel
489319,Estonia,Gasworks Gas - Production,2006,Terajoules,5053.0,,gasworks_gas
858281,Portugal,"Of which: biodiesel - Transformation in electricity, CHP and heat plants",2013,"Metric tons,  thousand",1.0,,of_which_biodiesel
475761,Greece,"Gas Oil/ Diesel Oil - Transformation in electricity, CHP and heat plants",2011,"Metric tons,  thousand",301.0,,gas_oil_diesel_oil
19686,Cuba,Aviation gasoline - Imports,2010,"Metric tons,  thousand",5.0,,aviation_gasoline
1135904,Pakistan,"Electricity - total production, autoproducer",2012,"Kilowatt-hours, million",40174.0,1.0,total_electricity
327417,Hungary,"Fuel oil - Transformation in electricity, CHP and heat plants",2006,"Metric tons,  thousand",90.0,,fuel_oil
542267,Belgium,Heat - Consumption by food and tobacco,2011,Terajoules,1647.0,,heat
1094687,Lithuania,Electricity - Final energy consumption,1999,"Kilowatt-hours, million",6543.0,,total_electricity
183210,Congo,Conventional crude oil - total energy supply,1997,"Metric tons,  thousand",710.0,,conventional_crude_oil
