,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
343912,Italy,Fuelwood - Consumption by other,2005,"Cubic metres, thousand",17757.3070610706,1.0,fuelwood
704040,Lao People's Dem. Rep.,Lubricants - Total energy supply,2004,"Metric tons,  thousand",1.0,1.0,lubricants
1097355,American Samoa,Electricity - Gross demand,2005,"Kilowatt-hours, million",181.7,,total_electricity
342412,Brunei Darussalam,Fuelwood - Consumption by other,2000,"Cubic metres, thousand",10.2,1.0,fuelwood
1164612,Romania,Hydro – Main activity,2014,"Kilowatt-hours, million",18953.0,,total_electricity
5848,Austria,Anthracite - consumption by non-metallic minerals,2011,"Metric tons,  thousand",0.0,,anthracite
91774,Colombia,Blast Furnace Gas - Production,1990,Terajoules,2909.0,1.0,blast_furnace_gas
796352,Canada,Natural gas (including LNG) - consumption by other,1997,Terajoules,1127088.0,,natural_gas_including_lng
1103193,Bahrain,Electricity - Gross production,1995,"Kilowatt-hours, million",4611.0,,total_electricity
363621,Mongolia,Fuelwood - Imports,1992,"Cubic metres, thousand",0.0,,fuelwood
612642,Slovakia,"Lignite - Consumption by manufacturing, construction and non-fuel industry",2001,"Metric tons,  thousand",424.0,,lignite
534550,Sweden,From combustible fuels – Autoproducer,2009,Terajoules,11131.0,,heat
197975,Yemen,Crude petroleum - reserves,1991,"Metric tons,  thousand",544000.0,,conventional_crude_oil
529978,"Korea, Republic of","Hard coal - transformation in electricity, CHP and heat plants",2009,"Metric tons,  thousand",74117.0,,hard_coal
710983,South Africa,Motor Gasoline - Consumption by other,2013,"Metric tons,  thousand",262.0,,motor_gasoline
771177,Israel,Naphtha - Imports,1993,"Metric tons,  thousand",30.0,,naphtha
676168,Botswana,Liquified Petroleum Gas (LPG) - Consumption by mining and quarrying,2012,"Metric tons,  thousand",7.0,,liquified_petroleum_gas
1171505,Ukraine,Wind – Main activity,2007,"Kilowatt-hours, million",45.0,,total_electricity
758697,Ireland,Motor Gasoline - Transfers and recycled products,2012,"Metric tons,  thousand",17.0,,motor_gasoline
524948,Canada,Hard coal - transformation,2005,"Metric tons,  thousand",13689.0,,hard_coal
606005,Dominican Republic,Kerosene-type Jet Fuel - Total energy supply,2013,"Metric tons,  thousand",-3.4194869158454796e-14,,kerosene_type_jet_fuel
149208,Papua New Guinea,Charcoal - Total energy supply,2006,"Metric tons,  thousand",6.0,,charcoal
1019579,Iraq,Refinery gas - Production from refineries,1994,"Metric tons,  thousand",351.0,,refinery_gas
122400,Azerbaijan,"Charcoal - Consumption by agriculture, forestry and fishing",2014,"Metric tons,  thousand",1.0,,charcoal
131571,Denmark,Charcoal - Exports,2013,"Metric tons,  thousand",1.3519999999999999,,charcoal
1171821,Belarus,Total refinery output,2011,"Metric tons,  thousand",20187.0,,total_refinery_output
154156,Finland,"Coke Oven Gas - Consumption by manufacturing, construction and non-fuel industry",2011,Terajoules,4334.0,,coke_oven_coke
210325,Kiribati,"Electricity - net installed capacity of electric power plants, public combustible fuels",2009,"Kilowatts,  thousand",5.45,1.0,electricity_net_installed_capacity_of_electric_power_plants
951876,France,Other oil products n.e.c. - Transfers and recycled products,2014,"Metric tons,  thousand",-407.0,,other_oil_products_n_e_c
479525,Samoa,Gas Oil/ Diesel Oil - Transformation in electricity plants - autoproducers,1995,"Metric tons,  thousand",1.2,1.0,gas_oil_diesel_oil
661890,Lithuania,Liquefied petroleum gas (LPG) - production from refineries,2011,"Metric tons,  thousand",323.0,,liquified_petroleum_gas
384118,Netherlands,Fuelwood - Transformation in electricity plants - main activity producers,2009,"Cubic metres, thousand",1391.7898189999999,1.0,fuelwood
551909,Czechia,Heat - Energy industries own use,2003,Terajoules,15433.0,,heat
218972,Australia,"Electricity - net installed capacity of electric power plants, public tide, wave, marine",2007,"Kilowatts,  thousand",1.0,,electricity_net_installed_capacity_of_electric_power_plants
325305,Bulgaria,Fuel oil - Transformation in CHP plants - main activity producers,2014,"Metric tons,  thousand",3.0,,fuel_oil
776557,Romania,Naphtha - production from refineries,1993,"Metric tons,  thousand",453.0,,naphtha
772939,Venezuela (Bolivar. Rep.),Naphtha - Non-energy uses,2003,"Metric tons,  thousand",1145.0,,naphtha
753731,Brazil,Motor Gasoline - Total energy supply,2001,"Metric tons,  thousand",17207.0,,motor_gasoline
794503,Greece,Natural Gas (including LNG) - consumption by non-ferrous metals,2000,Terajoules,1830.0,,natural_gas_including_lng
466586,Samoa,Gas Oil/ Diesel Oil - Total energy supply,2012,"Metric tons,  thousand",38.5,1.0,gas_oil_diesel_oil
32498,Honduras,Bagasse - Final consumption,2009,"Metric tons,  thousand",1461.390036,1.0,bagasse
467536,Uganda,Gas Oil/ Diesel Oil - Total energy supply,2012,"Metric tons,  thousand",560.861619,,gas_oil_diesel_oil
1110426,Slovakia,Electricity - imports,2005,"Kilowatt-hours, million",8005.0,,total_electricity
554679,Tajikistan,Heat - Gross demand,2008,Terajoules,1575.0,,heat
332144,Austria,Fuel oil - Transformation in heat plants - main activity producers,2013,"Metric tons,  thousand",33.0,,fuel_oil
645285,Saudi Arabia,Liquefied petroleum gas (LPG) - Exports,2012,"Metric tons,  thousand",23097.0,,liquified_petroleum_gas
1104577,French Guiana,Electricity - Gross production,2005,"Kilowatt-hours, million",691.0,1.0,total_electricity
1009300,Germany,Feedstocks - transformation in oil refineries,2012,"Metric tons,  thousand",6744.0,,refinery_feedstocks
1039515,Armenia,Electricity - Consumption by commercial and public services,2009,"Kilowatt-hours, million",312.0,,total_electricity
27924,New Zealand,Aviation gasoline - Transfers and recycled products,1993,"Metric tons,  thousand",0.0,,aviation_gasoline
26367,Kenya,Aviation gasoline - Total energy supply,1991,"Metric tons,  thousand",9.0,,aviation_gasoline
192889,Bangladesh,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",1500.0,,conventional_crude_oil
566148,Puerto Rico,Electricity - total hydro production,1997,"Kilowatt-hours, million",93.0,,hydro
70336,Oman,Bitumen - Non-energy uses,2003,"Metric tons,  thousand",26.0,,bitumen
424163,United Arab Emirates,Gas Oil/ Diesel Oil - Consumption in road,1997,"Metric tons,  thousand",733.0,,gas_oil_diesel_oil
838294,Sweden,Natural gas (including LNG) - transformation,1991,Terajoules,11581.0,,natural_gas_including_lng
912697,Tonga,Other kerosene - Final energy consumption,2013,"Metric tons,  thousand",0.126,1.0,other_kerosene
856348,Switzerland,Of which: biodiesel - Consumption by road,2004,"Metric tons,  thousand",3.0,,of_which_biodiesel
673342,Italy,Liquified Petroleum Gas (LPG) - Consumption by construction,2014,"Metric tons,  thousand",1.0,,liquified_petroleum_gas
441278,Peru,Gas Oil/ Diesel Oil - Final energy consumption,2014,"Metric tons,  thousand",4509.0,,gas_oil_diesel_oil
554861,Armenia,Heat - Gross production,2003,Terajoules,1441.0,,heat
1169112,Slovenia,Solar photovoltaic – Autoproducer,2007,"Kilowatt-hours, million",0.0,,total_electricity
338033,Sint Maarten (Dutch part),Fuelwood - Consumption by households,2013,"Cubic metres, thousand",0.1,1.0,fuelwood
15769,Iceland,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",1.0,,aviation_gasoline
1074248,Venezuela (Bolivar. Rep.),Electricity - Consumption by rail,2004,"Kilowatt-hours, million",238.0,,total_electricity
32570,Iran (Islamic Rep. of),Bagasse - Final consumption,2002,"Metric tons,  thousand",978.0,,bagasse
305851,Australia,Fuel oil - Own use by oil refineries,2007,"Metric tons,  thousand",45.0,,fuel_oil
1049969,Togo,Electricity - Consumption by households,1995,"Kilowatt-hours, million",135.0,,total_electricity
490294,Turkey,Gasworks Gas - Total energy supply,1994,Terajoules,70.0,,gasworks_gas
96500,Netherlands,Blast Furnace Gas - Transformation in electricity plants - main activity producers,2001,Terajoules,17189.0,,blast_furnace_gas
72399,Japan,Bitumen - Production,2008,"Metric tons,  thousand",4694.0,,bitumen
1162894,Faeroe Islands,Hydro – Main activity,1993,"Kilowatt-hours, million",74.0,,total_electricity
925526,Fiji,Other kerosene - Total energy supply,2004,"Metric tons,  thousand",6.072874,,other_kerosene
557930,Slovakia,Heat - Net production,2004,Terajoules,50327.0,,heat
1119426,Micronesia (Fed. States of),Electricity - net production,2012,"Kilowatt-hours, million",67.28,1.0,total_electricity
309767,South Africa,Fuel oil - Production,1990,"Metric tons,  thousand",1983.0,1.0,fuel_oil
508783,Denmark,Hard coal - exports,1999,"Metric tons,  thousand",200.0,,hard_coal
593865,El Salvador,Kerosene-type Jet Fuel - International aviation bunkers,2014,"Metric tons,  thousand",152.0,,kerosene_type_jet_fuel
835814,Nigeria,Natural gas (including LNG) - total resources,1993,Terajoules,134661471.0,,natural_gas_including_lng
578792,Albania,Kerosene-type Jet Fuel - Consumption by transport,2009,"Metric tons,  thousand",10.59,1.0,kerosene_type_jet_fuel
19965,French Guiana,Aviation gasoline - Imports,2008,"Metric tons,  thousand",0.1,1.0,aviation_gasoline
240216,Zimbabwe,"Electricity - total net installed capacity of electric power plants, hydro",2006,"Kilowatts,  thousand",680.0,,electricity_net_installed_capacity_of_electric_power_plants
215651,Lao People's Dem. Rep.,"Electricity - net installed capacity of electric power plants, public hydro",1993,"Kilowatts,  thousand",198.4,,electricity_net_installed_capacity_of_electric_power_plants
73115,Sri Lanka,Bitumen - Production,1990,"Metric tons,  thousand",26.0,,bitumen
625677,Kiribati,Liquefied petroleum gas (LPG) - Consumption by households,1999,"Metric tons,  thousand",0.049,1.0,liquified_petroleum_gas
534431,Romania,From combustible fuels – Autoproducer,2006,Terajoules,12185.0,,heat
771125,India,Naphtha - Imports,2002,"Metric tons,  thousand",2293.0,,naphtha
1181860,Tunisia,White spirit and special boiling point industrial spirits - Imports,1996,"Metric tons,  thousand",2.0,1.0,white_spirit_and_special_boiling_point_industrial_spirits
694822,Chad,Lubricants - Non-energy uses,2001,"Metric tons,  thousand",1.0,1.0,lubricants
527037,France,Hard coal - transformation in briquetting plants,2011,"Metric tons,  thousand",0.0,,hard_coal
934037,Latvia,"Other oil products n.e.c. - Consumption by other manuf., const. and non-fuel min. ind.",1999,"Metric tons,  thousand",3.0,,other_oil_products_n_e_c
595600,Netherlands,Kerosene-type Jet Fuel - International aviation bunkers,2005,"Metric tons,  thousand",3510.0,,kerosene_type_jet_fuel
395250,Nepal,"Gas Oil/ Diesel Oil - Consumption by manufacturing, construction and non-fuel mining industry",1992,"Metric tons,  thousand",2.0,1.0,gas_oil_diesel_oil
515386,Dominican Republic,Hard coal - imports,2005,"Metric tons,  thousand",476.0,,hard_coal
570525,United States,Industrial Waste - Consumption not elsewhere specified (other),2001,Terajoules,694.0,,industrial_waste
765412,Portugal,Municipal Wastes - Transformation in electricity plants - autoproducers,2012,Terajoules,7197.0,,municipal_wastes
1046379,"China, Hong Kong SAR",Electricity - Consumption by households,1992,"Kilowatt-hours, million",6032.0,,total_electricity
460336,China,Gas Oil/ Diesel Oil - Stock changes,2014,"Metric tons,  thousand",936.7,,gas_oil_diesel_oil
194033,Kenya,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",4492.0,,conventional_crude_oil
338783,United States,Fuelwood - Consumption by households,1997,"Cubic metres, thousand",43368.0,1.0,fuelwood
343509,Greece,Fuelwood - Consumption by other,2008,"Cubic metres, thousand",2586.97318,1.0,fuelwood
1020680,United Kingdom,Refinery gas - Production from refineries,2013,"Metric tons,  thousand",2467.0,,refinery_gas
548866,Canada,"Heat - Consumption by paper, pulp and print",1991,Terajoules,3111.0,,heat
644333,France,Liquefied petroleum gas (LPG) - Exports,2001,"Metric tons,  thousand",1279.0,,liquified_petroleum_gas
203662,Belgium,Direct use of solar thermal heat - Final energy consumption,1993,Terajoules,34.0,,direct_use_of_solar_thermal_heat
742762,Sudan,Motor Gasoline - Imports,2013,"Metric tons,  thousand",41.0,,motor_gasoline
844997,South Africa,Natural Gas (including LNG) - transformation in gas-to-liquid plants,2010,Terajoules,142012.0,,natural_gas_including_lng
453368,Jamaica,Gas Oil/ Diesel Oil - Own use by oil refineries,1998,"Metric tons,  thousand",2.0,,gas_oil_diesel_oil
88862,Russian Federation,Blast furnace gas - final consumption,2003,Terajoules,138979.0,,blast_furnace_gas
1027219,Hungary,Sub-bituminous coal - Consumption by households,2010,"Metric tons,  thousand",162.0,,sub_bituminous_coal
576942,Lao People's Dem. Rep.,Kerosene-type Jet Fuel - Consumption by domestic aviation,2000,"Metric tons,  thousand",1.0,1.0,kerosene_type_jet_fuel
1111111,Andorra,Electricity - Losses,2006,"Kilowatt-hours, million",76.7,,total_electricity
1062193,Cook Islands,Electricity - Consumption by other,2005,"Kilowatt-hours, million",29.9,,total_electricity
426311,Czechia,Gas Oil/ Diesel Oil - Consumption not elsewhere specified (other),2003,"Metric tons,  thousand",4.0,,gas_oil_diesel_oil
694783,Canada,Lubricants - Non-energy uses,1990,"Metric tons,  thousand",817.0,,lubricants
216840,St. Vincent-Grenadines,"Electricity - net installed capacity of electric power plants, public hydro",2004,"Kilowatts,  thousand",7.0,,electricity_net_installed_capacity_of_electric_power_plants
1185628,Czechia,White spirit and special boiling point industrial spirits - Stock changes,2000,"Metric tons,  thousand",-1.0,,white_spirit_and_special_boiling_point_industrial_spirits
802789,Iran (Islamic Rep. of),Natural gas (including LNG) - consumption by transport,2000,Terajoules,4963.0,,natural_gas_including_lng
510844,Japan,Hard coal - final consumption,1994,"Metric tons,  thousand",16269.0,,hard_coal
1002940,United States,Petroleum coke - Total energy supply,1991,"Metric tons,  thousand",21817.0,,petroleum_coke
808703,Italy,Natural gas (including LNG) - energy industries own use,1999,Terajoules,15429.0,,natural_gas_including_lng
550039,Lithuania,Heat - Consumption by transport equipment,2014,Terajoules,8.0,,heat
631090,Austria,Liquefied petroleum gas (LPG) - Consumption by other,2002,"Metric tons,  thousand",104.0,,liquified_petroleum_gas
495966,Turkey,Hard coal - consumption by machinery industry,1998,"Metric tons,  thousand",5.0,,hard_coal
591737,Sierra Leone,Kerosene-type Jet Fuel - Imports,2006,"Metric tons,  thousand",11.526,,kerosene_type_jet_fuel
704208,Malawi,Lubricants - Total energy supply,2002,"Metric tons,  thousand",6.0,,lubricants
992562,Brazil,Petroleum coke - Exports,1992,"Metric tons,  thousand",0.0,,petroleum_coke
957987,Portugal,"Vegetal waste - Consumption by manufacturing, construction and non-fuel mining industry",1998,Terajoules,22716.0,1.0,other_vegetal_material_and_residues
336232,Guadeloupe,Fuelwood - Consumption by households,2012,"Cubic metres, thousand",2.77,1.0,fuelwood
829871,Oman,Natural gas (including LNG) - production,1991,Terajoules,90608.0,,natural_gas_including_lng
1060482,"Korea, Republic of",Electricity - Consumption by non-metallic minerals,1996,"Kilowatt-hours, million",9589.0,,total_electricity
864354,Austria,"Other bituminous coal - consumption by manufacturing, construction and non-fuel industry",2000,"Metric tons,  thousand",311.0,,other_bituminous_coal
