Country,Data source,Sector,Gas,Unit,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
South Africa,CAIT,Total including LUCF,All GHG,MtCO₂e,527.22,512.23,494.85,480.49,492.05,483.41,507.34,474.59,454.16,453.34,452.39,424.14,403.52,390.85,354.16,348.31,367.03,356.83,340.94,329.01,316.11,310.25,301.87,305.03,309.29
Australia,CAIT,Total including LUCF,All GHG,MtCO₂e,523.21,514.8,581.2,579.12,561.95,590.57,573.95,597.56,603.84,603.39,628.82,593.96,642.79,643.41,588.3,571.4,533.53,507.13,498.24,494.44,486.79,479.7,478.39,478.4,479.52
United Kingdom,CAIT,Total including LUCF,All GHG,MtCO₂e,493.9,534.08,545.38,521.26,560.25,543.02,593.75,609.64,623.4,622.37,628.09,631.77,623.3,643.94,636.21,636.44,645.19,648.36,677.86,662.4,680.14,690.56,709.23,733.48,725.58
Nigeria,CAIT,Total including LUCF,All GHG,MtCO₂e,492.44,492.5,489.65,486.16,461.16,438.63,459.95,460.23,463.33,443.65,425.86,420.03,411.54,413.6,431.65,425.58,425.5,424.78,425.04,414.31,412.24,414.8,415.44,403.74,394.22
Argentina,CAIT,Total including LUCF,All GHG,MtCO₂e,443.26,431.64,434.7,424.83,418.67,427.23,446.69,428.83,427.8,394.32,397.46,374.04,354.18,357.18,346.26,347.3,340.17,336.96,333.17,324.18,322.54,312.42,312.25,307.9,303.46
Zambia,CAIT,Total including LUCF,All GHG,MtCO₂e,379.89,390.47,364.21,361.36,399.41,364.37,412.72,390.5,408.15,476.86,417.52,387.78,370.02,373.08,399.17,357.29,394.51,386.66,422.41,394.05,394.79,395.91,396.8,397.11,397.23
Thailand,CAIT,Total including LUCF,All GHG,MtCO₂e,374.38,381.31,371.61,350.42,339.99,321.1,324.47,321.52,308.53,311.04,303.14,282.24,269.68,257.72,254.55,254.07,245.02,265.01,259.16,238.51,220.74,205.62,188.86,176.62,164.77
Italy,CAIT,Total including LUCF,All GHG,MtCO₂e,368.82,387.09,417.12,436.3,444.82,439.46,491.21,508.61,518.25,523.18,525.68,514.74,496.83,487.0,491.38,486.78,478.58,465.95,461.98,463.43,440.55,445.36,452.7,454.95,456.76
Turkey,CAIT,Total including LUCF,All GHG,MtCO₂e,366.61,343.6,355.51,331.03,320.08,308.4,313.17,314.63,287.79,286.24,275.03,269.53,258.54,248.45,281.81,255.52,255.98,252.14,242.01,223.16,204.27,205.67,194.26,183.01,178.42
Pakistan,CAIT,Total including LUCF,All GHG,MtCO₂e,361.98,355.37,345.75,342.69,329.18,334.41,324.5,321.47,304.96,284.63,276.39,259.24,251.14,245.0,242.71,240.92,228.68,224.83,218.25,210.71,200.25,195.56,185.91,176.69,175.8
